year_month,country,occupation,source_indeed_total_it_index,source_indeed_ai_job_share,source_so_ai_use_rate,source_so_avg_salary_usd,source_linkedin_ai_hiring_index,source_stanford_genai_demand_score,key_skills
2023-01,미국,AI·ML Engineer,100,9.22,81.9,118679,110.4,56.1,"Python, PyTorch, LLM, RAG"
2023-01,미국,Data Scientist/Analyst,100,6.77,74.3,66467,128.1,72.0,"Python, SQL, AWS"
2023-01,미국,Software Developer,100,6.92,64.3,56791,108.3,89.2,"Python, SQL, AWS"
2023-01,미국,Cloud/DevOps,100,7.0,82.6,73262,123.1,79.8,"Python, SQL, AWS"
2023-01,한국,AI·ML Engineer,100,7.42,80.8,102048,101.3,92.9,"Python, PyTorch, LLM, RAG"
2023-01,한국,Data Scientist/Analyst,100,6.35,82.9,87174,106.4,67.5,"Python, SQL, AWS"
2023-01,한국,Software Developer,100,3.72,61.3,73722,113.7,51.8,"Python, SQL, AWS"
2023-01,한국,Cloud/DevOps,100,10.22,73.4,107902,103.6,81.0,"Python, SQL, AWS"
2023-01,일본,AI·ML Engineer,100,7.03,80.7,99481,127.5,80.3,"Python, PyTorch, LLM, RAG"
2023-01,일본,Data Scientist/Analyst,100,10.99,71.2,76114,111.3,91.7,"Python, SQL, AWS"
2023-01,일본,Software Developer,100,6.28,71.6,79578,115.7,71.2,"Python, SQL, AWS"
2023-01,일본,Cloud/DevOps,100,9.49,66.6,50420,103.5,56.6,"Python, SQL, AWS"
2023-01,독일,AI·ML Engineer,100,6.53,81.4,114101,131.6,51.3,"Python, PyTorch, LLM, RAG"
2023-01,독일,Data Scientist/Analyst,100,7.12,71.3,81157,138.0,70.8,"Python, SQL, AWS"
2023-01,독일,Software Developer,100,3.52,83.3,104739,102.4,80.2,"Python, SQL, AWS"
2023-01,독일,Cloud/DevOps,100,3.53,82.6,129605,132.9,60.8,"Python, SQL, AWS"
2023-01,인도네시아,AI·ML Engineer,100,11.3,81.4,42871,108.7,81.8,"Python, PyTorch, LLM, RAG"
2023-01,인도네시아,Data Scientist/Analyst,100,3.8,73.2,107680,112.4,85.3,"Python, SQL, AWS"
2023-01,인도네시아,Software Developer,100,6.92,63.2,42751,131.3,65.5,"Python, SQL, AWS"
2023-01,인도네시아,Cloud/DevOps,100,7.62,80.7,64248,123.3,90.7,"Python, SQL, AWS"
2023-01,베트남,AI·ML Engineer,100,6.51,82.5,98037,107.8,83.7,"Python, PyTorch, LLM, RAG"
2023-01,베트남,Data Scientist/Analyst,100,7.05,75.0,122888,127.6,91.0,"Python, SQL, AWS"
2023-01,베트남,Software Developer,100,11.05,80.7,57317,101.4,91.1,"Python, SQL, AWS"
2023-01,베트남,Cloud/DevOps,100,6.82,82.0,124934,126.6,70.8,"Python, SQL, AWS"
2023-02,미국,AI·ML Engineer,100,3.68,74.9,79033,138.1,88.0,"Python, PyTorch, LLM, RAG"
2023-02,미국,Data Scientist/Analyst,100,10.07,75.0,68901,107.9,84.3,"Python, SQL, AWS"
2023-02,미국,Software Developer,100,11.88,82.5,122957,136.7,67.4,"Python, SQL, AWS"
2023-02,미국,Cloud/DevOps,100,6.74,78.5,61217,112.6,62.4,"Python, SQL, AWS"
2023-02,한국,AI·ML Engineer,100,11.69,83.9,59996,135.8,58.5,"Python, PyTorch, LLM, RAG"
2023-02,한국,Data Scientist/Analyst,100,5.11,82.3,58624,107.0,54.3,"Python, SQL, AWS"
2023-02,한국,Software Developer,100,7.84,84.8,70869,127.5,92.4,"Python, SQL, AWS"
2023-02,한국,Cloud/DevOps,100,10.94,62.7,71343,117.0,89.3,"Python, SQL, AWS"
2023-02,일본,AI·ML Engineer,100,6.86,80.8,91296,135.6,65.0,"Python, PyTorch, LLM, RAG"
2023-02,일본,Data Scientist/Analyst,100,5.94,79.6,41855,133.4,56.1,"Python, SQL, AWS"
2023-02,일본,Software Developer,100,10.18,63.8,99407,111.1,67.3,"Python, SQL, AWS"
2023-02,일본,Cloud/DevOps,100,4.54,73.4,113093,127.8,94.5,"Python, SQL, AWS"
2023-02,독일,AI·ML Engineer,100,7.66,72.2,91657,121.6,80.1,"Python, PyTorch, LLM, RAG"
2023-02,독일,Data Scientist/Analyst,100,9.46,80.1,89473,105.5,74.5,"Python, SQL, AWS"
2023-02,독일,Software Developer,100,7.43,64.9,82121,124.2,67.3,"Python, SQL, AWS"
2023-02,독일,Cloud/DevOps,100,5.82,64.6,112828,104.0,79.2,"Python, SQL, AWS"
2023-02,인도네시아,AI·ML Engineer,100,11.93,69.3,90553,108.0,55.7,"Python, PyTorch, LLM, RAG"
2023-02,인도네시아,Data Scientist/Analyst,100,5.88,80.9,99148,136.7,60.3,"Python, SQL, AWS"
2023-02,인도네시아,Software Developer,100,7.62,79.3,106599,108.6,87.7,"Python, SQL, AWS"
2023-02,인도네시아,Cloud/DevOps,100,4.2,67.5,68041,118.0,57.8,"Python, SQL, AWS"
2023-02,베트남,AI·ML Engineer,100,9.69,67.9,124939,118.8,58.8,"Python, PyTorch, LLM, RAG"
2023-02,베트남,Data Scientist/Analyst,100,5.4,72.3,79404,129.2,64.4,"Python, SQL, AWS"
2023-02,베트남,Software Developer,100,4.63,76.6,67403,116.4,51.8,"Python, SQL, AWS"
2023-02,베트남,Cloud/DevOps,100,11.27,75.1,82975,104.4,84.3,"Python, SQL, AWS"
2023-03,미국,AI·ML Engineer,100,4.6,70.3,63694,139.9,66.4,"Python, PyTorch, LLM, RAG"
2023-03,미국,Data Scientist/Analyst,100,8.86,62.3,81025,138.0,58.4,"Python, SQL, AWS"
2023-03,미국,Software Developer,100,6.24,66.9,40030,126.0,61.0,"Python, SQL, AWS"
2023-03,미국,Cloud/DevOps,100,11.11,68.2,104516,123.5,67.8,"Python, SQL, AWS"
2023-03,한국,AI·ML Engineer,100,4.16,74.6,113391,136.3,78.2,"Python, PyTorch, LLM, RAG"
2023-03,한국,Data Scientist/Analyst,100,11.14,60.2,91067,119.4,57.5,"Python, SQL, AWS"
2023-03,한국,Software Developer,100,8.77,73.5,89898,111.7,64.6,"Python, SQL, AWS"
2023-03,한국,Cloud/DevOps,100,5.66,73.2,93797,126.8,75.3,"Python, SQL, AWS"
2023-03,일본,AI·ML Engineer,100,9.34,73.4,91612,112.3,79.8,"Python, PyTorch, LLM, RAG"
2023-03,일본,Data Scientist/Analyst,100,7.98,68.6,62911,134.9,93.8,"Python, SQL, AWS"
2023-03,일본,Software Developer,100,10.01,68.5,89583,101.6,84.2,"Python, SQL, AWS"
2023-03,일본,Cloud/DevOps,100,10.56,65.1,81106,112.7,56.8,"Python, SQL, AWS"
2023-03,독일,AI·ML Engineer,100,7.72,81.9,48355,121.9,65.4,"Python, PyTorch, LLM, RAG"
2023-03,독일,Data Scientist/Analyst,100,6.0,75.2,59866,117.4,58.5,"Python, SQL, AWS"
2023-03,독일,Software Developer,100,9.58,63.4,116010,126.6,51.1,"Python, SQL, AWS"
2023-03,독일,Cloud/DevOps,100,7.11,79.3,108289,139.5,79.8,"Python, SQL, AWS"
2023-03,인도네시아,AI·ML Engineer,100,8.48,74.7,95036,139.9,69.8,"Python, PyTorch, LLM, RAG"
2023-03,인도네시아,Data Scientist/Analyst,100,7.37,78.8,78530,122.0,71.9,"Python, SQL, AWS"
2023-03,인도네시아,Software Developer,100,4.54,66.6,98057,108.1,75.9,"Python, SQL, AWS"
2023-03,인도네시아,Cloud/DevOps,100,10.42,74.5,43797,130.1,73.5,"Python, SQL, AWS"
2023-03,베트남,AI·ML Engineer,100,7.35,67.9,59343,116.7,78.7,"Python, PyTorch, LLM, RAG"
2023-03,베트남,Data Scientist/Analyst,100,8.04,74.0,88690,117.0,77.0,"Python, SQL, AWS"
2023-03,베트남,Software Developer,100,8.33,63.9,125175,100.7,73.7,"Python, SQL, AWS"
2023-03,베트남,Cloud/DevOps,100,10.08,80.5,74758,101.2,76.9,"Python, SQL, AWS"
2023-04,미국,AI·ML Engineer,100,5.25,68.8,77895,115.4,77.6,"Python, PyTorch, LLM, RAG"
2023-04,미국,Data Scientist/Analyst,100,3.72,75.3,125418,132.4,57.1,"Python, SQL, AWS"
2023-04,미국,Software Developer,100,7.71,84.0,51520,130.4,87.2,"Python, SQL, AWS"
2023-04,미국,Cloud/DevOps,100,7.13,60.3,101544,104.8,70.9,"Python, SQL, AWS"
2023-04,한국,AI·ML Engineer,100,9.84,68.2,65148,105.8,88.8,"Python, PyTorch, LLM, RAG"
2023-04,한국,Data Scientist/Analyst,100,7.86,73.6,104006,138.5,73.0,"Python, SQL, AWS"
2023-04,한국,Software Developer,100,9.64,81.5,44053,114.3,90.5,"Python, SQL, AWS"
2023-04,한국,Cloud/DevOps,100,7.3,61.0,55996,115.2,78.4,"Python, SQL, AWS"
2023-04,일본,AI·ML Engineer,100,7.36,63.7,52498,136.0,85.8,"Python, PyTorch, LLM, RAG"
2023-04,일본,Data Scientist/Analyst,100,4.81,62.7,117220,116.1,89.2,"Python, SQL, AWS"
2023-04,일본,Software Developer,100,7.9,74.8,61941,105.2,59.0,"Python, SQL, AWS"
2023-04,일본,Cloud/DevOps,100,6.26,77.8,118452,112.0,75.3,"Python, SQL, AWS"
2023-04,독일,AI·ML Engineer,100,3.72,73.2,84143,134.8,69.0,"Python, PyTorch, LLM, RAG"
2023-04,독일,Data Scientist/Analyst,100,11.17,82.7,105020,131.9,70.8,"Python, SQL, AWS"
2023-04,독일,Software Developer,100,3.74,67.7,83213,130.3,76.4,"Python, SQL, AWS"
2023-04,독일,Cloud/DevOps,100,10.25,74.9,117369,107.9,90.0,"Python, SQL, AWS"
2023-04,인도네시아,AI·ML Engineer,100,8.8,62.8,59219,138.6,73.5,"Python, PyTorch, LLM, RAG"
2023-04,인도네시아,Data Scientist/Analyst,100,7.51,77.5,85655,135.5,64.4,"Python, SQL, AWS"
2023-04,인도네시아,Software Developer,100,5.86,70.7,59879,135.4,67.9,"Python, SQL, AWS"
2023-04,인도네시아,Cloud/DevOps,100,10.34,64.6,118618,117.9,76.4,"Python, SQL, AWS"
2023-04,베트남,AI·ML Engineer,100,11.2,68.1,127240,118.8,61.2,"Python, PyTorch, LLM, RAG"
2023-04,베트남,Data Scientist/Analyst,100,4.16,78.8,105771,112.2,73.0,"Python, SQL, AWS"
2023-04,베트남,Software Developer,100,5.67,81.8,125065,117.4,55.5,"Python, SQL, AWS"
2023-04,베트남,Cloud/DevOps,100,9.04,66.0,120053,128.1,92.2,"Python, SQL, AWS"
2023-05,미국,AI·ML Engineer,100,11.53,71.4,64674,118.6,85.4,"Python, PyTorch, LLM, RAG"
2023-05,미국,Data Scientist/Analyst,100,3.8,76.5,47698,119.0,75.3,"Python, SQL, AWS"
2023-05,미국,Software Developer,100,5.1,78.7,110244,104.8,88.8,"Python, SQL, AWS"
2023-05,미국,Cloud/DevOps,100,7.44,77.4,80848,129.5,53.0,"Python, SQL, AWS"
2023-05,한국,AI·ML Engineer,100,8.43,68.4,120311,117.0,58.3,"Python, PyTorch, LLM, RAG"
2023-05,한국,Data Scientist/Analyst,100,5.85,66.0,111957,129.1,65.6,"Python, SQL, AWS"
2023-05,한국,Software Developer,100,11.92,65.4,63797,104.9,55.5,"Python, SQL, AWS"
2023-05,한국,Cloud/DevOps,100,10.16,82.3,84237,134.9,93.4,"Python, SQL, AWS"
2023-05,일본,AI·ML Engineer,100,7.84,76.2,104309,131.2,66.3,"Python, PyTorch, LLM, RAG"
2023-05,일본,Data Scientist/Analyst,100,4.53,61.4,46153,135.3,94.3,"Python, SQL, AWS"
2023-05,일본,Software Developer,100,5.41,66.4,107881,123.0,92.2,"Python, SQL, AWS"
2023-05,일본,Cloud/DevOps,100,10.97,84.6,62385,117.4,75.4,"Python, SQL, AWS"
2023-05,독일,AI·ML Engineer,100,6.78,62.7,68864,121.6,71.1,"Python, PyTorch, LLM, RAG"
2023-05,독일,Data Scientist/Analyst,100,11.21,81.3,61230,125.4,66.1,"Python, SQL, AWS"
2023-05,독일,Software Developer,100,11.89,71.3,117931,125.4,91.8,"Python, SQL, AWS"
2023-05,독일,Cloud/DevOps,100,3.97,82.6,88021,130.0,80.0,"Python, SQL, AWS"
2023-05,인도네시아,AI·ML Engineer,100,6.76,79.5,69828,135.2,66.5,"Python, PyTorch, LLM, RAG"
2023-05,인도네시아,Data Scientist/Analyst,100,9.68,60.5,52821,130.8,71.9,"Python, SQL, AWS"
2023-05,인도네시아,Software Developer,100,8.08,74.4,65678,102.4,68.8,"Python, SQL, AWS"
2023-05,인도네시아,Cloud/DevOps,100,9.41,70.9,124970,119.9,66.1,"Python, SQL, AWS"
2023-05,베트남,AI·ML Engineer,100,5.58,79.4,56580,122.8,60.3,"Python, PyTorch, LLM, RAG"
2023-05,베트남,Data Scientist/Analyst,100,11.09,77.2,48286,139.4,86.3,"Python, SQL, AWS"
2023-05,베트남,Software Developer,100,5.92,63.4,61724,121.6,93.3,"Python, SQL, AWS"
2023-05,베트남,Cloud/DevOps,100,8.32,81.3,98279,125.9,61.1,"Python, SQL, AWS"
2023-06,미국,AI·ML Engineer,100,11.88,76.4,85527,111.3,93.2,"Python, PyTorch, LLM, RAG"
2023-06,미국,Data Scientist/Analyst,100,10.69,72.9,81387,101.5,84.9,"Python, SQL, AWS"
2023-06,미국,Software Developer,100,7.89,79.7,75799,133.1,74.0,"Python, SQL, AWS"
2023-06,미국,Cloud/DevOps,100,7.77,69.7,118212,104.5,88.8,"Python, SQL, AWS"
2023-06,한국,AI·ML Engineer,100,6.24,78.7,55813,135.5,94.3,"Python, PyTorch, LLM, RAG"
2023-06,한국,Data Scientist/Analyst,100,5.26,67.7,66891,133.2,66.0,"Python, SQL, AWS"
2023-06,한국,Software Developer,100,5.46,66.8,76247,130.5,77.4,"Python, SQL, AWS"
2023-06,한국,Cloud/DevOps,100,6.3,83.2,60509,131.7,91.2,"Python, SQL, AWS"
2023-06,일본,AI·ML Engineer,100,6.14,82.9,67232,110.8,60.5,"Python, PyTorch, LLM, RAG"
2023-06,일본,Data Scientist/Analyst,100,6.31,83.1,44909,124.9,69.4,"Python, SQL, AWS"
2023-06,일본,Software Developer,100,5.55,76.5,118001,117.8,51.7,"Python, SQL, AWS"
2023-06,일본,Cloud/DevOps,100,9.94,78.1,53756,128.4,56.0,"Python, SQL, AWS"
2023-06,독일,AI·ML Engineer,100,7.75,77.4,77760,120.6,85.3,"Python, PyTorch, LLM, RAG"
2023-06,독일,Data Scientist/Analyst,100,4.24,84.0,93239,128.4,51.3,"Python, SQL, AWS"
2023-06,독일,Software Developer,100,5.38,78.5,99974,107.3,84.7,"Python, SQL, AWS"
2023-06,독일,Cloud/DevOps,100,11.04,70.7,45575,126.7,70.6,"Python, SQL, AWS"
2023-06,인도네시아,AI·ML Engineer,100,11.21,65.2,108598,124.1,71.8,"Python, PyTorch, LLM, RAG"
2023-06,인도네시아,Data Scientist/Analyst,100,5.2,72.0,98235,112.1,66.9,"Python, SQL, AWS"
2023-06,인도네시아,Software Developer,100,7.94,76.1,61942,131.8,61.5,"Python, SQL, AWS"
2023-06,인도네시아,Cloud/DevOps,100,7.24,80.3,117351,128.0,75.3,"Python, SQL, AWS"
2023-06,베트남,AI·ML Engineer,100,6.46,79.3,102713,128.8,87.2,"Python, PyTorch, LLM, RAG"
2023-06,베트남,Data Scientist/Analyst,100,7.96,73.9,75088,102.0,55.8,"Python, SQL, AWS"
2023-06,베트남,Software Developer,100,7.38,67.9,76290,107.1,72.1,"Python, SQL, AWS"
2023-06,베트남,Cloud/DevOps,100,11.78,84.2,62555,106.1,84.8,"Python, SQL, AWS"
2023-07,미국,AI·ML Engineer,100,9.19,70.0,96471,100.1,64.9,"Python, PyTorch, LLM, RAG"
2023-07,미국,Data Scientist/Analyst,100,11.81,84.0,100363,114.8,59.4,"Python, SQL, AWS"
2023-07,미국,Software Developer,100,11.7,71.4,113155,122.5,68.5,"Python, SQL, AWS"
2023-07,미국,Cloud/DevOps,100,7.67,83.2,114527,134.9,91.8,"Python, SQL, AWS"
2023-07,한국,AI·ML Engineer,100,8.0,62.0,53638,114.9,73.6,"Python, PyTorch, LLM, RAG"
